"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"056FRAcr";0.110882957;42.8;0.507645488;1.21;0.51;1.087124147;2.208515457;18600;1890;1739.87;7.2;1389029.438;80810.19707;47.235864;5.103856;10.7;765;1535;6.58200551615955;0.897185009033638;348;4.86648737261108;0.831565105518807;108;3.37295166839489;0.720388110622556;0.329584427144546;0.445782972665818;0.376323674451856;NA
"057FRAcr";0.138636364;45.1;0.535704017;0.84;0.62;1.082481098;2.971432235;23000;2160;968.72;7.91;1608061.188;87635.83337;47.232725;5.111105;10.7;765;1475;6.53948645854;0.896260425177216;339;4.79760824913029;0.823482348215651;74;2.5213754395641;0.585812571363101;0.343512189622538;0.52392915261249;0.38251749521379;NA
"060FRAcr";0.134529148;51.6;0.570086896;1.23;0.66;0.962548085;3.647579364;33400;3320;1213.3;7.33;1783793.563;152526.604;47.38979;4.774691;8.9;897;1492;6.5590842099944;0.897536726044229;427;5.15170673953959;0.850568012378804;107;3.45238321597258;0.738820816741972;0.325536580689634;0.475670616149252;0.325353053953621;5.833952238
"061FRAcr";0.118568233;50.4;0.541101873;1.3;0.72;1.223072987;3.41831198;33100;3290;1162.98;7.41;1401389.688;122327.6847;47.389958;4.774793;8.9;897;1509;6.5584387425055;0.896059205829044;433;4.99160072193297;0.822239560590506;105;3.35195829608869;0.720237828406774;0.350284596154063;0.448339677781552;0.311057733225136;5.611687326
"062FRAcr";0.125279642;48.2;0.561161399;0.98;0.53;1.118562129;3.542787042;34500;3320;1122.36;7.69;1973352.25;101297.2777;47.390044;4.774831;8.9;897;1501;6.59633293134482;0.901891577377827;436;5.04096452060886;0.829427649533889;111;3.43799785576512;0.730008665154563;0.345086645769351;0.453335723882517;0.322464183363182;6.071149918
"063FRAcr";0.117256637;51;0.53440547;1.04;0.67;1.096041198;3.143440318;32600;3180;1047.46;7.53;1516609.063;111882.2562;47.39015;4.774936;8.9;897;1458;6.48645451842112;0.890406860548891;400;5.0029044910274;0.835005273200232;103;3.44877365061777;0.744115493996797;0.339019276828317;0.455900343318279;0.347036937847238;5.910516551
"064FRAcr";0.116740088;50.3;0.545384347;1.32;0.57;1.167893178;3.118191375;32000;3170;1107.34;7.55;1765988.063;102794.0152;47.390289;4.775035;8.9;897;1512;6.56059307918677;0.896110382671056;436;5.09701746046111;0.838650459565787;116;3.75218841955173;0.789337799159004;0.337920081744098;0.443833574140332;0.322607650141588;6.09264089
"065FRAcr";0.164079823;54.9;0.528301597;0.95;0.54;1.076550197;3.376498036;32700;3140;1081.97;7.73;2352345.438;104038.8597;47.390386;4.775062;8.9;897;1497;6.54003365664573;0.894520353896512;419;5.06329482913675;0.838589445897271;114;3.66917775204366;0.774709462034358;0.34092369625989;0.439176591253734;0.349074214278193;6.294123804
"066FRAcr";0.118834081;46.2;0.547607422;1.45;0.5;1.010184528;3.386140238;35400;3530;1080.58;7.5;1942883.375;122926.6289;47.390526;4.775187;8.9;897;1405;6.45853740668375;0.891104061522193;409;4.83524652431596;0.804036506361185;120;3.88073314947024;0.810598400576064;0.348425205217901;0.458061637115073;0.339817647806791;6.513168986
"067FRAcr";0.115044248;44.2;0.561788082;1.32;0.69;1.093422178;3.738283533;36000;3480;1084.13;7.49;2085026.938;108553.5399;47.390616;4.77522;8.9;897;1472;6.54055140776589;0.896656580734256;445;5.11538322751453;0.838852232822814;118;3.68579427397434;0.77259231412455;0.338269494933575;0.453994755482867;0.319547176246131;7.024063536
"069FRAcr";0.160550459;21.4;0.497016758;0.74;0.42;1.191540614;0.45032605;10400;1120;500.54;6.55;1917581.375;272255.7798;48.326813;2.382192;10.9;645;1561;6.58539997098292;0.895597253256401;452;5.05192651166911;0.82633122937505;70;2.17065282215652;0.510922738166808;0.351705420375993;0.48836775887397;0.298155487085319;1.72160901
