"","phylum","class","order","family","genus","species","nutrition","morphology"
"OTUc_2524","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_2525","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2526","Rhizaria-incertae-sedis","Novel_clade_12","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2527","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2528","Cercozoa","Imbricatea","Euglyphida","Trinematidae","unclassified","unclassified","omnivore","testate_cell_silica"
"OTUc_2529","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_253","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_sp.","bacterivore","naked_amoeboflagellate"
"OTUc_2530","Endomyxa","Phytomyxea","Plasmodiophorida","Polymyxa_lineage","unclassified","unclassified","plant_parasite","endoparasite"
"OTUc_2531","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2532","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2533","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_2534","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2535","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2537","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2538","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2539","Cercozoa","Granofilosea","Granofilosea_unassigned","Novel_Gran_123456","unclassified","unclassified","unknown","unknown"
"OTUc_254","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2541","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2542","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2543","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2544","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2545","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2546","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Neocercomonas","Neocercomonas_jutlandica","omnivore","naked_amoeboflagellate"
"OTUc_2547","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2548","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","Capsellina","Capsellina_sp.","omnivore","testate_cell_organic"
"OTUc_2549","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_255","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2551","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2552","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2553","Cercozoa","Imbricatea","Euglyphida","Paulinellidae","Paulinella","Paulinella_sp.","unknown","testate_cell_silica"
"OTUc_2554","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2555","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2556","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2557","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_limna","bacterivore","naked_flagellate"
"OTUc_2558","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_compacta","bacterivore","naked_amoeboflagellate"
"OTUc_2559","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_256","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2560","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_sp.","bacterivore","naked_flagellate"
"OTUc_2561","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_tenuis","bacterivore","naked_amoeboflagellate"
"OTUc_2562","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2563","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2564","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2565","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2566","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2567","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2568","Cercozoa","Sarcomonadea","Glissomonadida","Glissomonadida_Clade_Y","unclassified","unclassified","unknown","unknown"
"OTUc_2569","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_257","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2570","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2571","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2572","Cercozoa","Sarcomonadea","Cercomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2573","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2574","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2575","Endomyxa","Phytomyxea","Plasmodiophorida","Spongospora_lineage","Spongospora","unclassified","plant_parasite","endoparasite"
"OTUc_2576","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_compacta","bacterivore","naked_amoeboflagellate"
"OTUc_2577","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","Allantion","Allantion_sp.","bacterivore","naked_flagellate"
"OTUc_2578","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2579","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_258","Cercozoa","Thecofilosea","Tectofilosida","Fiscullidae","unclassified","unclassified","eukaryvore","testate_cell_organic"
"OTUc_2580","Cercozoa","Granofilosea","Granofilosea_unassigned","Novel_Gran_123456","unclassified","unclassified","unknown","unknown"
"OTUc_2581","Cercozoa","Sarcomonadea","Cercomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2583","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_2584","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","Group_Te","unclassified","bacterivore","naked_flagellate"
"OTUc_2585","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2586","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_2587","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","Group_Te","unclassified","bacterivore","naked_flagellate"
"OTUc_2588","Cercozoa","Thecofilosea","Tectofilosida","Fiscullidae","unclassified","unclassified","eukaryvore","testate_cell_organic"
"OTUc_2589","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_259","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_2590","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2591","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_2592","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2593","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2594","Cercozoa","Thecofilosea","Tectofilosida","Fiscullidae","unclassified","unclassified","eukaryvore","testate_cell_organic"
"OTUc_2595","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2596","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2597","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","Euglypha_rotunda","omnivore","testate_cell_silica"
"OTUc_2598","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2599","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_26","Endomyxa","Phytomyxea","Plasmodiophorida","Spongospora_lineage","Spongospora","Spongospora_subterranea","plant_parasite","endoparasite"
"OTUc_260","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2600","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2601","Cercozoa","Imbricatea","Thaumatomonadida","Peregriniidae","Peregrinia","unclassified","bacterivore","testate_cell_silica"
"OTUc_2602","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2603","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2604","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2605","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2606","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2607","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_2608","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_261","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","unassigned_Eugliphidae","Tracheleuglypha_dentata","omnivore","testate_cell_silica"
"OTUc_2610","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_ramosa","omnivore","naked_amoeboflagellate"
"OTUc_2611","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2612","Cercozoa","Sarcomonadea","Cercomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2614","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2615","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2616","Cercozoa","Imbricatea","Thaumatomonadida","Peregriniidae","Peregrinia","Peregrinia_clavideferens","bacterivore","testate_cell_silica"
"OTUc_2617","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2618","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Neoheteromita","unclassified","bacterivore","naked_flagellate"
"OTUc_2619","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_limna","bacterivore","naked_flagellate"
"OTUc_262","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2620","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2622","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2623","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2624","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2625","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_2626","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2627","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2628","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2629","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_263","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2630","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2631","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2632","Cercozoa","Thecofilosea","Cryomonadida","Protaspididae","Protaspa","unclassified","eukaryvore","testate_cell_organic"
"OTUc_2633","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2634","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2635","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2636","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2638","Cercozoa","Imbricatea","Spongomonadida","Spongomonadidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2639","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_264","Cercozoa","Imbricatea","Thaumatomonadida","Peregriniidae","Peregrinia","unclassified","bacterivore","testate_cell_silica"
"OTUc_2640","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2641","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2642","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2643","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2644","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2645","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2646","Cercozoa","Sarcomonadea","Glissomonadida","Bodomorphidae","Bodomorpha","Bodomorpha_sp.","bacterivore","naked_flagellate"
"OTUc_2647","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Neoheteromita","Neoheteromita_globosa","bacterivore","naked_flagellate"
"OTUc_2648","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2649","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_265","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2650","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2651","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2653","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2654","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_aporians","bacterivore","naked_flagellate"
"OTUc_2655","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2656","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2657","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2658","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Flectomonas","Flectomonas_ekelundi","bacterivore","naked_flagellate"
"OTUc_2659","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_266","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","Group_Te","unclassified","bacterivore","naked_flagellate"
"OTUc_2660","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2661","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2662","Endomyxa","Phytomyxea","Plasmodiophorida","Polymyxa_lineage","Polymyxa","Polymyxa_graminis","plant_parasite","endoparasite"
"OTUc_2664","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2666","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2667","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2668","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2669","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","Euglypha_rotunda","omnivore","testate_cell_silica"
"OTUc_267","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_2670","Cercozoa","Granofilosea","Limnofilida","Limnofilidae","unclassified","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_2671","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2672","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2673","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomonadidae","Thaumatomonas","unclassified","bacterivore","testate_cell_silica"
"OTUc_2674","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2675","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_edax","omnivore","naked_amoeboflagellate"
"OTUc_2676","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_2677","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2678","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Neocercomonas","Neocercomonas_jutlandica","omnivore","naked_amoeboflagellate"
"OTUc_2679","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_268","Cercozoa","Imbricatea","Euglyphida","Trinematidae","unclassified","unclassified","omnivore","testate_cell_silica"
"OTUc_2680","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2681","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Flectomonas","Flectomonas_ekelundi","bacterivore","naked_flagellate"
"OTUc_2682","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2683","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2684","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2685","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_plasmodialis","omnivore","naked_amoeboflagellate"
"OTUc_2686","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2687","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2688","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2689","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_269","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2690","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2691","Cercozoa","Sarcomonadea","Cercomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2692","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2693","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_sp.","bacterivore","naked_amoeboflagellate"
"OTUc_2694","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2695","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2696","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2697","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2698","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_sp.","bacterivore","naked_flagellate"
"OTUc_2699","Cercozoa","Imbricatea","Euglyphida","Trinematidae","unclassified","unclassified","omnivore","testate_cell_silica"
"OTUc_27","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_270","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2700","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2701","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Sandona","Sandona_sp.","bacterivore","naked_flagellate"
"OTUc_2702","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2703","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Flectomonas","Flectomonas_ekelundi","bacterivore","naked_flagellate"
"OTUc_2705","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2706","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","Euglypha_compressa","omnivore","testate_cell_silica"
"OTUc_2707","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_longicauda","omnivore","naked_amoeboflagellate"
"OTUc_2708","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2709","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_271","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2710","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2711","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2712","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2713","Endomyxa","Phytomyxea","Plasmodiophorida","Spongospora_lineage","unclassified","unclassified","plant_parasite","endoparasite"
"OTUc_2714","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2715","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2716","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2717","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2718","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_272","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2720","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2722","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_2723","Cercozoa","Sarcomonadea","Glissomonadida","Glissomonadida_Clade_Y","unclassified","unclassified","unknown","unknown"
"OTUc_2724","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","unclassified","omnivore","naked_amoeboflagellate"
"OTUc_2725","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_2726","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","Capsellina","Capsellina_sp.","omnivore","testate_cell_organic"
"OTUc_2727","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2728","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_273","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_sp.","bacterivore","naked_amoeboflagellate"
"OTUc_2730","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2731","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2732","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","unclassified","omnivore","testate_cell_silica"
"OTUc_2733","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2734","Cercozoa","Imbricatea","Euglyphida","Trinematidae","unclassified","unclassified","omnivore","testate_cell_silica"
"OTUc_2735","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_2736","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_2737","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_2738","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_2739","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
