OTU;kingdom;phylum;class;order;family;genus;species
OTU_4261;Bacteria;Proteobacteria;Betaproteobacteria;MND1;unclassified;unclassified;unclassified
OTU_426158;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;unclassified;unclassified
OTU_426185;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];DA101;unclassified
OTU_426221;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_426292;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_426314;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;[Leptospirillaceae];unclassified;unclassified
OTU_426373;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_42640;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cryptosporangiaceae;unclassified;unclassified
OTU_426416;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;unclassified;unclassified;unclassified
OTU_426469;Bacteria;Proteobacteria;Betaproteobacteria;MND1;unclassified;unclassified;unclassified
OTU_426537;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;unclassified
OTU_426599;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;unclassified;unclassified
OTU_42661;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];unclassified;unclassified
OTU_426685;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];DA101;unclassified
OTU_426686;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unclassified;unclassified;unclassified
OTU_42676;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;unclassified;unclassified
OTU_426789;Bacteria;OD1;SM2F11;unclassified;unclassified;unclassified;unclassified
OTU_4268;Bacteria;Elusimicrobia;Endomicrobia;unclassified;unclassified;unclassified;unclassified
OTU_42685;Bacteria;Planctomycetes;BD7-11;unclassified;unclassified;unclassified;unclassified
OTU_426859;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;unclassified;unclassified
OTU_426886;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Modestobacter;unclassified
OTU_427107;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_42724;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;unclassified;unclassified
OTU_427304;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_427312;Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;unclassified;unclassified
OTU_427341;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_42739;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;psychrolactophilus
OTU_42741;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unclassified;unclassified;unclassified
OTU_427424;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_427455;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_42747;Bacteria;Firmicutes;Clostridia;unclassified;unclassified;unclassified;unclassified
OTU_42749;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;unclassified
OTU_42754;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;unclassified
OTU_427559;Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;unclassified;unclassified
OTU_427564;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;RB40;unclassified;unclassified
OTU_427636;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_4277;Bacteria;Acidobacteria;[Chloracidobacteria];nov-24;unclassified;unclassified;unclassified
