Sample_No;country_ID;Sample_ID;country;landuse;landuse_ID;SM;Clay;BD;MWD;Ctot_mg;Ntot_mg;Ptot_mg;pH;Lat;Long;MAT;MAP;bact16S;fungITS
s140;GER;CH68;Germany;cropland;cr;0.107;23.7;1.15;1.18;19700;2000;615.52;7.33;48.15971667;10.7292;8.1;908;1723969.313;83657.0612
s141;GER;CH69;Germany;cropland;cr;0.098;23.6;1.25;0.63;13800;1430;559.7;7.49;48.20721667;10.77866667;8.1;900;2022751.688;158784.961
s142;GER;CH70;Germany;cropland;cr;0.133;23.5;1.25;0.95;17400;1740;684.91;7.48;48.61168333;12.60896667;7.8;879;1538570.125;61308.2028
s143;GER;CH71;Germany;cropland;cr;0.112;24.2;1.25;0.67;15200;1650;964.27;7.13;48.64461667;12.84023333;8.3;874;1564324.375;114521.7509
s144;GER;CH72;Germany;cropland;cr;0.226;32.9;0.99;2.71;34900;3780;1346.22;7.02;48.64271667;12.83461667;8.3;874;1455245.531;135964.9247
s145;GER;CH73;Germany;cropland;cr;0.122;30.8;1.31;0.75;31400;1400;573.14;8.03;48.64233333;12.79008333;8.1;871;1560860.5;63799.57102
s146;GER;CH74;Germany;grassland;gr;0.135;24.8;1.19;1.72;21600;2030;784;7.45;48.15641667;10.76558333;8.1;912;2052915.625;51721.96124
s147;GER;CH75;Germany;grassland;gr;0.149;18.8;1.09;3.08;18300;1850;583.09;5.83;48.31551667;10.6424;8.3;846;1444607.688;33869.2484
s148;GER;CH76;Germany;grassland;gr;0.226;17.2;1.09;3.41;85200;3540;528.45;7.78;48.1916;10.72611667;8.1;892;1313517.563;26409.92334
s149;GER;CH77;Germany;grassland;gr;0.194;26.2;0.82;4.07;81900;7080;994.52;6.02;48.05768333;10.77398333;7.9;941;1266342.688;47919.40257
s150;GER;CH78;Germany;grassland;gr;0.163;27.3;1.29;3.61;23900;2520;530.46;6.41;48.16401667;10.72545;8.1;908;1646936.438;47251.11097
s151;GER;CH79;Germany;grassland;gr;0.262;27.6;1.17;3.57;39500;4170;603.17;5.97;48.6371;12.80358333;8.2;873;1434120.375;39015.21644
s152;GER;CH80;Germany;grassland;gr;0.182;27.7;1.13;1.81;20900;2070;651.45;5.89;48.647;12.83266667;8.2;873;1369424.813;73672.42754
s153;GER;CH81;Germany;grassland;gr;0.29;26.3;1.02;3.5;79500;5330;644.2;7.7;48.74028333;12.81943333;8.5;823;1855322.438;51924.32021
s154;GER;CH82;Germany;grassland;gr;0.16;29.5;1.26;4.06;24600;2280;402.57;7.11;48.6228;12.83348333;8;907;1596747.875;126101.3878
s155;GER;GE1;Germany;grassland;gr;0.115;13.5;1.53;3.63;13600;1310;807.92;6.05;54.312207;9.97513;8;774;1257919.688;39475.38858
s156;GER;GE4;Germany;grassland;gr;0.137;20.7;1.49;3.25;16300;1500;643.46;5.75;54.313022;9.98467;8;774;732162.8828;67123.84867
s157;GER;GE7;Germany;grassland;gr;0.145;12.8;1.5;3.27;18000;1630;712.8;6.16;54.314827;9.98646;8;774;1200990.625;40958.39624
s158;GER;GE10;Germany;grassland;gr;0.179;19.8;1.51;2.94;16400;1450;698.63;6.34;54.311646;9.99885;8;774;1144751.188;54183.05777
s159;GER;GE13;Germany;cropland;cr;0.11;11.2;1.52;1.16;11800;1010;616.3;7.56;54.31162;9.98116;8;774;1423995.125;102885.0161
s160;GER;GE16;Germany;cropland;cr;0.109;20.8;1.55;0.71;13200;1140;597.18;6.9;54.312154;9.979049;8;774;1500725.188;159630.9743
s161;GER;GE19;Germany;cropland;cr;0.131;18.1;1.51;0.91;13900;1200;703.5;7.23;54.31663;9.998858;8;774;1828638;93836.63605
s162;GER;GE22;Germany;cropland;cr;0.097;14.5;1.37;1.16;13500;1160;751.91;7.12;54.313605;9.997345;8;774;1380580.328;89007.36169
s163;GER;GE25;Germany;cropland;cr;0.145;20.6;1.49;1.16;14100;1260;568.52;7.19;54.318436;9.990228;8;774;1428805.563;81751.73545
s164;GER;GE28;Germany;cropland;cr;0.134;17.1;1.41;0.89;12600;1100;610.08;7.43;54.315818;9.986797;8;774;1348321.188;78729.79128
s165;GER;GE31;Germany;cropland;cr;0.089;18.8;1.47;0.76;10700;990;621.16;7.01;54.312005;9.976471;8;774;1839775.375;79346.82785
s166;GER;GE34;Germany;cropland;cr;0.101;17.7;1.51;0.75;11300;1060;660.73;7.05;54.312008;9.976011;8;774;1750903.563;93417.04967
s167;GER;GE37;Germany;cropland;cr;0.1;15;1.54;1.06;12100;1140;652.18;7.13;54.312146;9.975575;8;774;1242381.125;73201.12123
s168;GER;GE40;Germany;cropland;cr;0.108;19.3;1.49;1.06;14200;1150;587.01;6.89;54.3127;9.998685;8;774;1461986.25;77082.69488
